session_id,target
1,0.00023484259578738367
2,2.6460763139223077e-05
3,0.0021078292759004434
4,6.0113017341855333e-05
5,0.001833333532984626
6,0.00022517104230200985
7,0.0005731023591540766
8,6.964007591581082e-05
9,9.80050338813252e-05
10,0.002002137899563385
11,0.0036943441065521027
12,0.00019317546370024508
13,0.00015553669024081213
14,0.047266371665801346
15,0.013332253565317477
16,0.0003491948172573336
17,0.0017458166461213499
18,0.00011600321318270778
19,0.0005411175677660732
20,0.0001173685832701311
21,0.024997522288855024
22,2.391930523341251e-06
23,0.005720337843000387
24,0.00018770525178937484
25,0.0015431814445796754
26,7.65830328698991e-05
27,0.00043128526267037607
28,3.8095809173596136e-05
29,0.035798528346780864
30,0.008603235461564445
31,0.03728840434885891
32,0.1425801266895095
33,0.00016517156428968985
34,0.00020158828301247313
35,0.06100947931435158
36,6.8944366168487e-05
37,1.7550331306460486e-05
38,5.0017154955204185e-05
39,0.008361988237178201
40,4.8767993012755814e-05
41,0.026248097997561573
42,0.00016084316813266852
43,0.0021200765363667677
44,5.229140049744491e-05
45,0.04478775654828955
46,0.007565192352560899
47,4.0746567666241093e-05
48,1.1457128751858205e-05
49,0.005971429146192942
50,8.398053149000433e-05
51,2.2437615406967995e-05
52,0.00010460069812506562
53,0.0018445995916336478
54,0.00015961745651236057
55,0.012134259168795224
56,2.5034628945687558e-05
57,5.416952610849652e-05
58,2.7736303256434094e-05
59,5.8378506156421296e-05
60,7.073548505924514e-07
61,0.0001255608113904146
62,0.0011560178377347855
63,6.382182186842782e-06
64,0.015400035274416819
65,0.00021857605102730302
66,8.330683546598187e-05
67,0.0007048973773607683
68,0.0059958915311075466
69,0.007709226298368697
70,0.000119262758439114
71,0.010939739230456375
72,0.010389275299612657
73,0.005590685595249689
74,0.0010597973858619285
75,0.0020817807480200293
76,0.0003566915559498145
77,0.0027914978089093427
78,0.000332362876007713
79,0.00011629330411889693
80,4.835742877191457e-05
81,8.446132213420455e-05
82,7.039400062473703e-05
83,6.204294744825089e-05
84,0.4249569091499922
85,0.00405052116276607
86,0.00013151637044668787
87,0.0005363771503401809
88,0.004057535584758956
89,0.003936784968128306
